source,target,anchor_texts,target_dead
https://www.policylibrary.gatech.edu/information-technology/data-privacy-policy,https://www.policylibrary.gatech.edu/information-technology/acceptable-use-policy,Acceptable Use,False
https://www.policylibrary.gatech.edu/information-technology/data-privacy-policy,https://www.policylibrary.gatech.edu/information-technology/cyber-security-policy,Cyber Security,False
https://www.policylibrary.gatech.edu/information-technology/data-privacy-policy,https://www.policylibrary.gatech.edu/information-technology/policy-exceptions,Policy Exceptions Policy,False
https://www.policylibrary.gatech.edu/information-technology/password-policy,https://bpb-us-e1.wpmucdn.com/404.html,Data Protection Safeguards Standard,True
https://www.policylibrary.gatech.edu/information-technology/password-policy,https://policylibrary.gatech.edu/information-technology/data-resources,Data Access Policy,False
https://www.policylibrary.gatech.edu/information-technology/password-policy,https://policylibrary.gatech.edu/information-technology/policy-exceptions,Policy Exceptions policy,False
https://www.policylibrary.gatech.edu/information-technology/password-policy,https://policylibrary.gatech.edu/information-technology/responsible-disclosure-policy,Responsible Disclosure Policy,False
https://www.policylibrary.gatech.edu/information-technology/password-policy,https://www.policylibrary.gatech.edu/information-technology/acceptable-use-policy,Acceptable Use Policy,False
https://www.policylibrary.gatech.edu/information-technology/password-policy,https://www.policylibrary.gatech.edu/information-technology/cyber-security-policy,Cyber Security Policy,False
https://www.policylibrary.gatech.edu/information-technology/password-policy,https://www.policylibrary.gatech.edu/information-technology/data-privacy-policy,Data Privacy Policy,False
https://www.policylibrary.gatech.edu/information-technology/policy-exceptions,https://gatech.service-now.com/governance?id=sc_cat_item&sys_id=84c6c452e7600300dd926217c2f6a980&sysparm_category=d3187660db6f0050391b9837db961977,Policy Exception Request form,False
https://www.policylibrary.gatech.edu/information-technology/policy-exceptions,https://get.adobe.com/reader/,Download Acrobat Reader,False
https://www.policylibrary.gatech.edu/information-technology/policy-exceptions,https://policylibrary.gatech.edu/information-technology/acceptable-use-policy,Acceptable Use Policy,False
https://www.policylibrary.gatech.edu/information-technology/policy-exceptions,https://policylibrary.gatech.edu/information-technology/cyber-security-policy,Cyber Security Policy,False
https://www.policylibrary.gatech.edu/information-technology/policy-exceptions,https://policylibrary.gatech.edu/information-technology/data-privacy-policy,Data Privacy Policy,False
https://www.policylibrary.gatech.edu/information-technology/policy-exceptions,https://www.oit.gatech.edu/service/information-security/security-policies-standards-and-procedures,Georgia Tech IT Policy Website,True
https://www.policylibrary.gatech.edu/information-technology/policy-exceptions,https://www.policylibrary.gatech.edu/sites/default/files/Exception%2520Request%2520Process%2520Flowchart.pdf,Exception Request Process Flowchart.pdf,True
https://www.policylibrary.gatech.edu/information-technology/responsible-disclosure-policy,https://policylibrary.gatech.edu/information-technology/acceptable-use-policy,Acceptable Use Policy,False
https://www.policylibrary.gatech.edu/information-technology/responsible-disclosure-policy,https://policylibrary.gatech.edu/information-technology/cyber-security-policy,Cyber Security Policy,False
https://www.policylibrary.gatech.edu/information-technology/responsible-disclosure-policy,https://policylibrary.gatech.edu/information-technology/data-privacy-policy,Data Privacy Policy,False
https://www.policylibrary.gatech.edu/information-technology/responsible-disclosure-policy,https://policylibrary.gatech.edu/information-technology/data-resources,Data Access Policy,False
https://www.policylibrary.gatech.edu/information-technology/responsible-disclosure-policy,https://security.gatech.edu/report-vulnerability,https://security.gatech.edu/report-vulnerability,True
